Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
79,12,Matteo Ruggeri,it ITA,DF,22.0,6.0,3.0,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,16.0,21.0,21.0,Atalanta,,,,,,,,
80,13,Juan Cuadrado,co COL,DF,36.0,8.0,2.0,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,2.2,2.6,14.0,22.0,25.0,Atalanta,,,,,,,,
81,14,Lazar Samardzic,rs SRB,MF,22.0,8.0,2.0,293.0,3.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.6,2.8,16.0,23.0,30.0,Atalanta,,,,,,,,
82,15,Odilon Kossounou,ci CIV,DF,23.0,4.0,2.0,267.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,2.0,12.0,2.0,Atalanta,,,,,,,,
83,16,Rafael Tolói,it ITA,DF,33.0,4.0,2.0,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,Atalanta,,,,,,,,
84,17,Marco Brescianini,it ITA,"MF,FW",24.0,6.0,1.0,127.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,1.0,5.0,2.0,19.0,Atalanta,,,,,,,,
85,18,Rui Patrício,pt POR,GK,36.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,,,,,,,,
86,19,Stefan Posch,at AUT,DF,27.0,2.0,1.0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,4.0,Atalanta,,,,,,,,
87,20,Marco Palestra,it ITA,"DF,MF",19.0,3.0,1.0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,Atalanta,,,,,,,,
88,21,Nicolò Zaniolo,it ITA,"FW,MF",25.0,7.0,0.0,133.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.1,4.0,3.0,14.0,Atalanta,,,,,,,,
